song_id,Title,Artist,artist_id,Album,Genre,Lyrics Composer
90,Mal Madahasa,"Randhir, Bhathiya, Umaria",79,"Essentials, Vol.1.",,Chandradasa Fernando
91,Mal Mitak Thiyanna,Kasun Kalhara,5,,,
92,Mal pan podak,Bathiya n Sathush,79,,,
93,Malak Une Ai Numba Mata,Amarasiri Peiris,1,,,
308,Malakuth thibuna,"Chithral Somapala, Umara Sinhawansha",16 & 90,,,
223,Man ithaliye thani una,Danapala Udawaththa,,,,
94,Mana Bandu,Lahiru Perera x Anushka Udana,12,Sulag Kurullo [Episode 24],,
307,Manamali,Infaas & Iraj Ft. Janani,,,,
249,Mandakini,Romesh Sugathapala,49,,,
221,Mandaram Wahi Watena,6th Lane,,,,
95,Mankiniye,Prithvi Akash,Prithvi Akash,,,
96,Marambari Kola Wee,Edward Jayakody,24,,,
97,Maraya[2018],"IRAj fr. Big Doggy, Chey Nyn, Master D & Spin",11,,,
98,Marunu Hithe,Lahiru Perera x Anushka Udana,12,Sulag Kurullo [Episode 24],,
301,Master sir   ,Bathiya n Santhush,79,,,
277,Mata Rawana,Lahiru Perera,12,,,
262,Math mage hitha,"Pasan Liyanage, Tharaka Gunarathne",70 & ,,,
99,Mathakai Eda,Billy Fernando & Umaria Sinhawansa,"13 , 3",,,
292,Mathakaida ada wage,Meena Prasadini,,,,
100,Mathakaya Asurin Sihiyata Gannata,Indrani Perera,108,,,
101,Mawena,Yasas Medagedara ft. Thisija Uthpala,Yasas Medagedara ft. Thisija Uthpala,,,
102,Mayam Kalawe,Nadeemal Perera,30,,,
250,Mayawee,Pradeep Rangana,,,,
103,Me Avurudu Kale ,Lional Ranwala,27,,,
304,Me diganthayeee,Rookantha Gunathilaka,41,,,
104,Me Hitha Thaniyen,Athma Liyanage ft Thilina Ruhunage,89,,,
246,Me mal yaye ,Edward Jayakody,24,,,
105,Me Sanda Unath Paya Awith,Buddika Ushan,110,,,
106,Me Tharam Siyumalida Kalugal,Sunil Edirisinghe,20,,,
107,Meeduma Uthurana,Bathiya n Santhush,79,,,
108,Mey Jeewithe,Bathiya n Santhush,79,,,
109,Mihiravi ,Romesh Sugathapala,49,,,Nandana Wickramage
110,Mihirawa Awa,Sajitha Anthony,103,,,
111,Mumunanawa,Bathiya & Santhush,79,Oba Nisa (White Edition),,
276,Muwa muktha latha,Edward Jayakody,24,,,
112,Na Thawath Hithak,Athma Liyanage,89,,,
113,Nadagam Geeya,Ridma Weerawardena x Charitha Atalage,15,Galana Ganga,,Chandrasena Thalangama
114,Nadee Ganga Tharanaye,Chitral Chity Somapala,16,,,
115,Nalawena Sulagak,Athula Adhikari,54,,,
116,Nattami,Sadara Bandara & Sadeeshe Mohotti,Sadara Bandara & Sadeeshe Mohotti,,,
117,Natuwen Gilihunu Pinna Malak,Priyal Amarasinghe,88,,,
268,Naukawa,Dhanith Sri,8,,,
118,Nawathi Methekin,Kasun Kalhara,5,,,Achala Solomons
119,Neela Kobei Rana Adii,W D Amaradeva,17,,,
120,Neela Nimnaye,BnS & Nirosha Virajini,79,,,
244,Nethu dahan,Edward Jayakody,24,,,
121,Nethu Kalma Ma Welai,Bathiya n Santhush,79,,,
122,Nethu Saluna,Romesh & Lakshan,49,,,
123,Nimnawiye,"IRAJ ft. Nadeera, Shermaine Willis & Master D",11,,,
124,Ninda Noyana Handawe,Ranidu Lankage,77,,,
125,Nirayase,WePlus,WePlus,,,
126,Niwaduwatath Man Dan Sankawen,Sangeeth Wijesuriya,93,,,
261,Numbada bimba,YAKA ft Chamod,101,,,
127,Nura wasanthe,Nadeemal Perera,30,,,
128,Nurawee,Sandeep Jayalath,106,,,
306,Oba apple malak wage,Amarasiri Peiris,1,,,
129,Oba Dakala,Yuki,Yuki,,,
