song_id,Title,Artist,Artist_id,Album,Genre
127,Nura wasanthe,Nadeemal Perera,30,,
128,Nurawee,Sandeep Jayalath,90,,
306,Oba apple malak wage,Amarasiri Peiris,1,,
129,Oba Dakala,Yuki,129,,
130,Oba Dutu E Mul Dine,Dushan Jayathilaka,93,,
278,Oba Enna Aye,Bathiya n Santhush,79,,
131,Oba Ha Mema Athinath Aran,T M Jayarathna,9,,
132,Oba Heenayak Wage Hadu Wessak Aran,Deepika Priyadarshani Peries,88,,
303,Oba Kamathi Nam,Billy Fernando,13,,
133,Oba Kauda,Athula Adhikari ft. Samitha Mudunkotuwa,54,,
134,Oba Magemai,Ranidu Lankage,76,,
135,Oba Nisa,Bathiya & Santhush,79,Oba Nisa (White Edition),
136,Obage Mathaken,Shihan Mihiranga,62,,
137,Oya Magenam,Bathiya n Santhush ft Umara,79,,
138,Paaren ,Sanuka Wickramasinghe,7,Rupantharana Film Song,
139,Pamawee Pipunu Mal Suwandai,Kasun Kalhara & Uresha Ravihari,5,,
140,Pandama,Danith Sri,8,,
248,Pawena kodu akase,Samitha Mudunkotuwa,22,,
141,Pawena Loke,Cairo Rich ft. Aj Leon,44,Black Heart,
142,Paya Ena Sanda Watha Manaram,Bathiya n Santhush,79,,
143,Pera Dinayaka Ma Pem Kala Yuwathiya,W D Amaradeva,17,,
144,Perada Mawu Sina,Shihan Mihiranga,62,,
145,Perawadanak,Sanuka Wickramasinghe,7,,
146,Pini Binduwak Wennata Asai,Bathiya n Santhush,79,,
147,Pinna Male Suda Anna Gihin Wada,Edward Jayakody,24,No Album,
148,Pitasakwala Yaane,Cairo Rich,44,Black Heart,
252,Piyawuna,Indrachapa Liyanage,14,,
149,Prarthanawe,Radeesh Vandebona,99,,
150,Prasiddiya Ko,Cairo Rich ft. Pazi,44,Black Heart,
227,Prathihari,Supun Perera,37,,
288,Prema sajjayanaya,Tharindu Damsara,47,,
275,Premaye wil there ,Malani Bulathsinhala,130,,
285,Premayen mana ranjitha we,Nishshanka Diddeniya,131,,
222,Ra ahase,Billy Fernando,13,,
151,Ra Ahasin Wetena Bindu Bindu,Kasun Kalhara,5,,
152,Ra Pura Payana Tharuka,Bathiya n Santhush,79,,
153,Ra Thisse Awilla,BnS x RnL x Sureni x Shihan x Samitha x Daddy,79,,
251,Raata man,Romesh Sugathapala,49,,
228,Radhawani,Supun Perera,37,,
290,Radical paththini,Tharindu Damsara,47,,
154,Rahase Handana Apa Hagum,Clerence Wijewardena & Neela Wickramasinghe,45,,
235,Rahath himiwaru,"Ravi Jay, Dhyan Hewage",34,,
155,Rambari,Lahiru Perera x Anushka Udana,12,Sulag Kurullo [Episode 24],
156,Ran Dakaththen,Centigradz,82,Soorya Mangalya,
157,Ran Kurahan Mala,Bathiya n Santhush,79,,
242,Ran wan mal dam,Centigradz,82,,
158,Rangume ,Umariya Sinhawansa,3,,
159,Reta Mang,Romesh ft Jithmi,49,,
160,Ridena Noriddena,Sanka Dineth,77,,
289,Robarosiyan,"Kalpana Kavindi, Tharindu Damsara",47,,
161,Rodha Bandila,Kasun Kalhara,5,Thala (Original Motion Picture Soundtrack),
162,Ron Podak,Athula Adhikari,54,,
163,Rosa Kalpna ,Sanka Dineth,77,,
164,Ru Sara,Bathiya & Santhush,79,Oba Nisa (White Edition),
165,Runawiye,DKM ft. YAKA,65,,
166,Sada Eliya Gala Ena,Asanka Priyamantha,2,,
167,Sadha Ebennnepa,Athula Adhikari ft. Samitha Mudunkotuwa,54,,
168,Sadha Oba Mage,Athula Adhikari,54,,
169,Sadha Tharu Mal Mata Dan Dun,Athula Adhikari ft. Samitha Mudunkotuwa,22,,
170,Samawak na,Cairo Rich,44,Black Heart,
171,Sanda Latha Payala,Keerthi Paskuwel,38,,
172,Sanda Nawath Kamak Nathe ,Asanka Priyamantha,2,,
